source,target,weight
0,23,10
0,15,10
0,3,10
0,19,10
0,11,10
0,7,10
1,15,10
1,13,5
1,11,10
1,7,10
21,3,10
3,1,5
15,3,10
11,3,10
19,3,10
23,3,10
3,7,10
4,10,5
18,4,10
4,5,10
4,6,10
18,5,10
5,6,10
12,5,10
18,6,10
6,9,5
21,7,10
7,15,5
23,7,10
19,7,10
11,7,10
10,9,5
11,15,10
11,23,10
11,19,10
16,10,5
16,8,5
16,14,5
18,8,5
19,21,10
19,1,5
19,23,10
21,11,5
21,0,5
22,17,5
23,1,5
0,1,1
15,20,1
20,9,1
0,6,1
0,20,1
1,6,1
1,20,1
1,21,1
20,6,1
21,6,1
20,21,1
15,19,1
15,23,1
20,3,1
11,20,1
21,23,1
12,18,1
5,7,1
19,5,1
10,6,1
18,9,1
20,5,1
0,5,1
3,5,1
11,5,1
20,7,1
19,20,1
15,21,1
15,9,1
21,5,1
0,12,1
1,12,1
12,3,1
12,7,1
12,15,1
12,19,1
12,21,1
12,23,1
10,18,1
10,8,1
7,9,1
12,9,1
6,8,1
16,9,1
5,9,1
12,20,1
15,5,1
23,5,1
13,15,1
6,7,1
4,8,1
5,8,1
4,9,1
8,9,1
15,6,1
10,15,1
15,18,1
1,4,1
23,9,1
16,18,1
0,9,1
3,9,1
19,9,1
21,9,1
15,4,1
16,6,1
20,23,1
11,12,1
16,4,1
10,5,1
16,5,1
3,6,1
19,6,1
1,5,1
11,6,1
23,6,1
11,9,1
4,7,1
23,4,1
13,20,1
1,9,1
1,18,1
18,20,1
0,4,1
0,16,1
0,18,1
1,16,1
3,4,1
16,3,1
18,3,1
11,4,1
19,4,1
21,4,1
16,7,1
18,7,1
11,16,1
11,18,1
15,16,1
16,19,1
16,21,1
18,19,1
18,21,1
2,6,1
2,8,1
12,4,1
